Time,leaps,gnssId,SatelliteID,C1X,L1X,D1X,C1Xstd,L1Xstd,D1Xstd,C1Xvalid,L1Xvalid,L1XLocktime,L1XHalfCycleValid,L1XHalfCycleSubtrated,C1Xsnr,C7X,L7X,D7X,C7Xstd,L7Xstd,D7Xstd,C7Xvalid,L7Xvalid,L7XLocktime,L7XHalfCycleValid,L7XHalfCycleSubtrated,C7Xsnr
2024-07-10 07:31:17.002,18,2,21,27622305.641303364,145156187.04386178,1621.224609375,5.0,4.0,8.0,1.0,1.0,8320.0,1.0,0.0,39.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,2,34,24833209.685214415,130499394.28055933,-2492.4921875,3.0,2.0,6.0,1.0,1.0,25000.0,1.0,0.0,47.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,2,30,26053388.791181553,136911484.29714188,-3566.884765625,7.0,5.0,8.0,1.0,1.0,3740.0,1.0,0.0,36.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,2,15,24318792.320621323,127796117.24858876,135.6787109375,5.0,3.0,7.0,1.0,1.0,13000.0,1.0,0.0,38.0,,,,,,,,,,,,
2024-07-10 07:31:17.002,18,2,5,27198419.35656742,142928646.57946476,1397.348876953125,5.0,4.0,8.0,1.0,1.0,8000.0,1.0,0.0,42.0,,,,,,,,,,,,
2024-07-10 07:31:18.002,18,2,21,27621997.113845434,145154567.84891713,1617.846435546875,5.0,3.0,7.0,1.0,1.0,9320.0,1.0,0.0,40.0,,,,,,,,,,,,
2024-07-10 07:31:18.002,18,2,34,24833683.680732418,130501886.77376011,-2491.993896484375,3.0,1.0,6.0,1.0,1.0,26000.0,1.0,0.0,46.0,,,,,,,,,,,,
2024-07-10 07:31:18.002,18,2,30,26054068.18993193,136915054.0884706,-3571.04443359375,7.0,4.0,8.0,1.0,1.0,4740.0,1.0,0.0,43.0,,,,,,,,,,,,
2024-07-10 07:31:18.002,18,2,15,24318767.409388486,127795983.13650192,132.52490234375,5.0,3.0,7.0,1.0,1.0,14000.0,1.0,0.0,40.0,,,,,,,,,,,,
2024-07-10 07:31:18.002,18,2,5,27198152.735946994,142927247.94565865,1398.725341796875,5.0,3.0,7.0,1.0,1.0,9000.0,1.0,0.0,42.0,,,,,,,,,,,,
